_id,category_id,caption_title_id,caption
6568b4b1818359af4469fbb5,6568a19c818359af4469fb80,6568b33b818359af4469fba0,"Thanks, Mom!"
6568b4b1818359af4469fbb8,6568a19c818359af4469fb80,6568b33b818359af4469fba0,Talk about a glow up
6568b4b1818359af4469fbbb,6568a19c818359af4469fb80,6568b33b818359af4469fba0,"Life isn’t perfect, but you’re close. Happy Birthday!"
6568b4b1818359af4469fbbc,6568a19c818359af4469fb80,6568b33b818359af4469fba0,Act my age? Maybe next year
6568b4b1818359af4469fbbe,6568a19c818359af4469fb80,6568b33b818359af4469fba0,It’s my birthday
6568b4b1818359af4469fbb6,6568a19c818359af4469fb80,6568b33b818359af4469fba0,Thankful for another year of life
6568b4b1818359af4469fbb7,6568a19c818359af4469fb80,6568b33b818359af4469fba0,Blessed
6568b4b1818359af4469fbb9,6568a19c818359af4469fb80,6568b33b818359af4469fba0,A queen/king was born today
6568b4b1818359af4469fbba,6568a19c818359af4469fb80,6568b33b818359af4469fba0,You shine brighter than the candles on your cake
6568b4b1818359af4469fbbd,6568a19c818359af4469fb80,6568b33b818359af4469fba0,Smiling into my birthday week
